IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
3.81,8.65,15.82,1.41,908,410,228,959.5
5.25,12.61,13.26,1.35,701,329,249,956
5.57,13.16,13.03,1.26,701,329,249,956
2.87,14.95,13.71,0.7,894,251.5,277.5,967
2.81,15.79,13.58,0.66,893,252,277,967
2.76,16.7,13.46,0.62,893,252,277,967
2.81,15.81,13.58,0.66,900,251,278,967
3.13,12.21,14.29,0.9,946,336,240,964
3.37,10.59,14.82,1.07,946,336.5,246.5,947
3.93,8.26,16.09,1.5,956,466,221,960
3.81,8.65,15.82,1.41,956,466,221,960
3.89,8.38,16,1.47,957,499,218,959
3.93,8.26,16.09,1.5,957,499,218,959
3.81,8.65,15.82,1.41,957,499,218,959
3.93,8.26,16.09,1.5,957,499,218,959
3.73,8.93,15.64,1.35,957,496,218.5,959
3.93,8.26,16.09,1.5,957,496,218,959
3.81,8.65,15.82,1.41,957,496,218,959
3.93,8.26,16.09,1.5,957,496,218,959
2.54,2.84,21.99,2.54,957,496,218,959
2.54,2.84,21.99,2.54,959,912,193,791.5
3.03,5.97,18.74,2.38,953,779,197,751.5
3.03,5.97,18.74,2.38,947,644,201,711
1.15,6.1,17.36,1.15,947,644,201,711
1.19,5.91,17.49,1.19,959,449,223,963
3.54,9.7,15.21,1.2,959,448,223,963
5.75,14.19,12.68,1.13,792,297.5,255,958
3.37,10.59,14.82,1.07,792,298,255,958
1.2,5.83,17.55,1.2,962,527,217,963
1.28,5.48,17.82,1.28,962,528,217,963
1.35,5.25,18.02,1.35,961.5,540,217,962
1.35,5.25,18.02,1.35,962,540,217,962
1.26,5.57,17.74,1.26,962,540,217,962
1.26,5.57,17.74,1.26,962,541,217,962
1.35,5.25,18.02,1.35,962,541,217,962
1.32,5.35,17.93,1.32,962,541,217,962
1.26,5.57,17.74,1.26,962,542.5,217,962
1.26,5.57,17.74,1.26,962,544,217,962
3.69,9.06,15.56,1.32,962,544,217,962
5.75,14.19,12.68,3.44,818,321,247,956
2.71,17.76,13.34,0.58,818,321,247,956
2.76,16.7,13.46,0.62,950,251,270,966
2.71,17.76,13.34,0.58,950,251,270,966
2.76,16.7,13.46,0.62,951,252.5,268,965.5
2.81,15.81,13.58,0.66,951,253,268,965
4.96,21.21,11.42,0.66,951,253,268,965
4.9,22.32,11.32,0.62,676,240,356,966
2.71,17.65,13.35,0.58,887,240,295,966
4.77,25.15,11.11,0.54,887,240,295,966
1.8,1.8,26.75,3.97,964,951,189,425.5
1.68,1.68,27.69,4.25,964,951,189,425.5
1.68,1.68,27.69,4.25,964,951,189,410
1.65,1.65,27.94,4.32,964,952,189.5,410
1.65,1.65,27.94,4.32,964,951,189,409.5
1.68,1.68,27.69,4.25,964,952,190,409
1.68,1.68,27.69,4.25,964,952,190,410
1.68,1.68,27.69,4.25,964,952,190,402
1.65,1.65,27.94,4.32,964,952,190,402
1.56,1.56,28.73,4.56,964,952,190,402
4.34,4.34,23.5,7.22,954,795,191,318.5
4.25,4.25,23.95,7.42,954,795,191,319
1.8,4.34,23.5,3.97,961,944.5,189,379
0.88,0.88,32.05,7.86,961,944,189,379
0.49,0.49,29.82,14.33,974,959,199,296
0.49,0.49,29.82,14.33,974,960,199,296
2.64,2.64,27.96,13.19,962,953,202,313
2.7,2.7,28.19,13.32,962,953,201,313
0.58,0.58,30.34,11.89,962,953,201,313
0.53,0.53,30.09,12.94,973,959,199,294
0.34,0.34,29.02,14.68,973,959,199,294
0.22,0.22,28.31,14.27,976,961,199,292
2.28,0.26,26.54,14.41,976,961,199,292
2.32,2.32,26.67,12.47,962,957.5,202.5,317
2.29,2.29,26.56,12.4,962,958,202,317
4.44,2.39,24.92,12.63,892,953,210,348
6.49,2.39,22.87,12.63,892,953,210,348
2.31,3.12,21.23,5.01,892,953,210,348
2.38,3.03,21.47,5.11,905,875,197,412
2.54,2.84,21.99,5.32,906,875,197,412
2.47,2.92,21.75,5.22,906,875,196,412
2.03,3.54,20.3,4.64,906,875,196,412
2.31,3.12,21.23,5.01,903,841,198,434
2.56,2.82,22.06,5.35,903,842,198,434
2.31,3.12,21.23,5.01,903,841,198,434
2.38,3.03,21.47,5.11,903,841,198,434
2.31,3.12,21.23,5.01,902,842,198,434
2.31,3.12,21.23,5.01,896,801,192,434
2.17,3.32,20.75,4.82,902,842,198,434
1.73,4.14,19.29,4.23,902,842,198,434
1.73,4.14,19.29,4.23,928,726,204,503
1.77,4.03,19.44,4.3,926,729,204,500.5
2.61,2.76,22.24,5.41,926,729,204,500
3.71,1.94,25.89,6.88,915,949,192,289
3.47,2.07,25.1,6.56,915,949,191,289
3.54,2.03,25.34,6.65,916,949,192,288
3.47,2.07,25.1,6.56,916,949,192,288
6.56,4.69,22.01,9.65,786,836.5,193,282
6.65,4.64,22.22,9.77,655,722,194,276
6.82,4.29,23.73,10.6,789,935,191,271
6.98,4.46,22.95,10.17,791,935,191,271
1.47,4.84,18.42,3.89,957,567,218.5,659
1.41,5.04,18.22,3.81,957,567,218.5,659
1.32,5.35,17.93,3.69,957,567,219,660
1.84,3.89,19.67,4.39,957,567,218,659
1.77,4.03,19.44,4.3,949,744,205,535
1.73,4.14,19.29,4.23,949,744,205,535
1.77,4.03,19.44,4.3,949,744.5,205,535
1.84,3.89,19.67,4.39,949,745,205,535
2.09,3.44,20.51,4.72,940,878,198,462.5
2.31,3.12,21.23,5.01,940,871,198,465
2.17,3.32,20.75,4.82,940,871,198,465
1.66,4.29,19.08,4.15,940,871,198,465
1.5,4.74,18.52,3.93,955,678,210,605
1.44,4.93,18.32,3.85,955,678,210,605
1.5,4.74,18.52,3.93,955,679,210,605
1.5,4.74,18.52,3.93,955,678,210,605
4.15,7.65,16.59,6.64,668,422,229,491
4.23,7.45,16.78,6.74,669,422,229,491
0.23,0.23,28.38,14.3,971.5,963,200.5,277
0.2,0.2,28.22,14.21,971.5,963,201,277
0.21,0.21,28.24,14.22,972,963,201,277
0.2,0.2,28.22,14.21,972,963,201,277
2.23,0.22,26.31,14.27,959,960,206,296
4.21,0.2,24.22,14.22,959,960,206,296
2.7,0.58,28.22,15.46,959,960,206,296
2.77,0.63,28.48,15.63,964,959,204,275.5
2.77,0.63,28.5,15.63,964,959,204,275
4.92,2.77,26.35,13.49,943,954,205,291
5.01,2.85,26.63,13.66,943,954,205,291
5.11,2.93,26.92,13.83,801,948,206,302
2.23,0.22,26.31,14.27,801,948,206,302
1.17,1.17,6.01,17.42,959,953,434,199
3.66,1.3,5.43,17.86,959,953,434,199
5.84,1.19,5.91,17.49,618,953,474,198
5.81,1.17,6.01,17.42,618,953,474,199
3.42,1.11,6.27,17.25,847,951,453,198
5.84,1.19,5.91,17.49,847,952,454,198
5.93,1.24,5.67,17.67,582,953,508,194
12.62,0.34,2.39,28.99,582,953,508,194
12.23,0.21,2.21,28.26,412,965,943,168
12.2,0.2,2.2,28.2,412,965,943,168
12.2,0.2,2.2,28.2,412.5,965,943,168
12.21,0.2,2.21,28.23,412.5,965,943,168
12.2,0.2,2.2,28.2,413,965,943,169
10.24,0.22,4.23,28.29,418,966,887.5,166.5
10.24,0.22,4.23,28.29,423,967,832,164
10.24,0.22,4.23,28.29,426,967,828.5,164
10.22,0.21,4.21,28.25,429,967,825.5,164
10.25,0.22,4.23,28.31,429,967,825,164
10.24,0.21,4.22,28.28,484,968,760,167
10.25,0.22,4.23,28.31,484,968,760,167
10.23,0.21,4.22,28.26,484,968,760,167
10.28,0.23,4.25,28.38,484,968,760,167
10.32,0.25,4.28,28.46,484,968,760,167
10.28,0.23,4.25,28.38,488,968,753,167
10.28,0.23,4.25,28.38,488,968,753,167
10.28,0.23,4.25,28.38,488,968,753,167
10.28,0.23,4.25,28.38,421,963,938,170
10.33,0.25,4.28,28.48,421,963,938,170
10.28,0.23,4.25,28.38,485,968,754,167
10.28,0.23,4.25,28.38,485,968,754,167
10.31,0.24,4.27,28.44,485,968,754,167
10.28,0.23,4.25,28.38,490,967.5,749,167
10.28,0.23,4.25,28.38,490,968,749,167
10.28,0.23,4.25,28.38,490,968,749,167
10.28,0.23,4.25,28.38,490,968,749,167
10.28,0.23,4.25,28.38,490,968,749,167
10.2,0.2,4.2,28.2,490,968,749,167
10.2,0.2,4.2,28.21,507,969,647,164
8.22,0.21,6.22,28.25,507,969,647,164
10.2,0.2,4.2,28.21,507,969,647,164
8.34,0.26,6.32,28.54,507,969,646,170
8.4,0.29,6.37,28.69,479,967,556.5,157
8.43,0.3,6.4,28.76,479,967,556,157
8.4,0.29,6.37,28.69,479,967,557,157
10.52,0.32,4.4,28.88,479,967,557,157
7.31,26.96,9.49,5.12,545,272,488,710.5
4.2,22.21,10.2,6.2,545,272,488,711
4.63,1.54,28.43,15.06,630,954,198,245.5
4.97,1.43,27.92,15.73,629,954,198,246
7.7,4.13,24.57,14.44,557,916.5,199,256.5
8.11,3.98,25.49,15.06,484.5,877,201,267
0.47,14.77,15.11,6.75,484,877,201,267
0.47,14.77,15.11,6.75,973,283,246,541.5
0.47,14.77,15.11,6.75,973,283,246,542
0.5,13.8,15.21,6.81,973,283,246,541
0.47,14.77,15.11,6.75,973,283,246,541
0.47,14.77,15.11,6.75,973,283,247,542
0.45,15.82,15.02,6.69,973,283,246,542
0.47,14.77,15.11,6.75,973,282.5,246,542
0.47,14.77,15.11,6.75,973,282,246,542
0.44,16.09,15,6.68,973,282,246,542
0.5,13.96,15.19,6.79,973,282,247,542
0.47,14.77,15.11,6.75,973,282.5,246,542
0.62,11.12,15.59,7.03,973,283,246,542
0.66,10.41,15.73,7.12,972.5,354,241,494.5
0.66,10.41,15.73,7.12,972,354,241,495
0.7,9.76,15.88,7.21,972,360.5,241,491
0.62,11.12,15.59,7.03,972,361,241,491
0.66,10.41,15.73,7.12,972,361,241,491
0.61,11.17,15.58,7.03,972,362,241,491
0.75,9.14,16.04,7.3,972,363,241,491
0.66,10.41,15.73,7.12,972,365,240.5,490.5
0.62,11.12,15.59,7.03,972,365,240,491
0.66,10.43,15.72,7.11,972,365,240,490.5
0.62,11.12,15.59,7.03,963,279.5,254,500
0.62,11.07,15.6,7.04,963,279,254,500
0.28,22.56,14.45,6.35,972,285,261,617
0.28,22.56,14.45,6.35,972,285,262,617
0.26,22.47,14.39,6.32,972,285,262,617
0.25,22.43,14.36,6.3,965,282,284,640
0.28,22.56,14.45,6.35,965,282,284,640
2.24,22.33,12.28,6.25,965,282,284,640
4.26,22.36,10.29,6.27,942,277,361,711
1.77,4.03,19.44,9.35,942,277,361,711
3.17,2.27,24.1,9.15,675.5,953,195,234
3.54,2.03,25.34,9.77,676,953,195,234
3.54,2.03,25.34,9.77,673,953,195,233
3.71,1.94,25.89,10.04,672,953,195,233
3.47,2.07,25.1,9.65,672.5,953,195,233
3.78,1.9,26.14,10.17,672,953,195,233
3.78,1.9,26.14,10.17,672,953,195,233
3.63,1.98,25.63,9.91,672,953,196,233
4.63,1.54,28.96,11.58,684.5,954,197,234
4.04,1.77,27.01,10.6,685,954,197,234
4.97,1.43,30.09,12.15,701,955,197,238
5.04,1.41,30.23,12.26,701,955,197,237
4.7,1.51,29.21,11.71,701,955,197,237
4.12,1.74,27.25,14.03,701,956,198,238
4.63,1.54,28.43,15.06,607,949,197,250
4.32,1.65,27.94,14.44,607,949,197,250
1.2,5.83,17.55,5.87,607,949,197,250
1.13,6.19,17.3,5.75,967,680,216,454
1.2,5.83,17.55,5.87,967,680,216,454
1.19,5.91,17.49,5.84,967,680,216,455
1.2,5.83,17.55,5.87,967,680,216,454
1.2,5.83,17.55,5.87,967,680,216,454
1.2,5.83,17.55,5.87,967,674.5,217,456
1.2,5.83,17.55,5.87,967,674,217,456
1.09,6.4,17.17,5.68,957,510,224,438
1.07,6.49,17.12,7.95,956,510,224,438
3.37,10.59,14.82,7.95,728,297,261,439
3.37,10.59,14.82,7.95,728,297,261,439
5.33,0.88,27.59,16.46,728,297,261,439
