IR0_meas,IR1_meas,IR2_meas,IR3_meas,IR0_cam,IR1_cam,IR2_cam,IR3_cam
142,426,937,942,30.61,13.17,3.37,1.52
142,426,937,942,30.32,12.76,3.18,1.61
142,426,937,942,30.61,13.17,3.37,1.52
142,426,937,942,30.61,13.17,3.37,1.52
142,426,937,942,29.15,11.36,4.9,2.84
142,426,937,942,29.12,12.16,7.07,3.87
142,426,937,942,27.13,11.16,6.37,4.18
158,524,920,537,25.53,11.16,7.97,5.46
158,525,920,537,25.16,10.97,7.82,5.55
158,525,920,537,24.85,10.81,7.69,5.62
158,525,920,537,25.53,11.16,7.97,5.46
158,524,920,537,24.85,10.81,7.69,5.62
158,524,920,537,23.63,9.42,6.83,6.83
158,524,920,537,23.63,9.42,6.83,6.83
172,592,869,374,23.33,10.09,6.5,7.75
172,593,870,375,23.33,10.09,6.5,7.75
172,592,870,375,23.33,10.09,6.5,7.75
172,592,870,375,24.03,10.46,6.34,7.58
172,592,870,375,22.34,9.57,6.75,8.03
172,592,870,375,22.68,9.75,6.66,7.93
172,592,870,375,22.08,8.64,5.16,8.89
184,635,766,323,21.68,8.44,5.24,9.01
184,635,766,323,22.08,8.64,5.16,8.89
184,635,766,323,20.74,7.97,5.46,9.31
184,635,766,323,28.1,13.84,5.07,6.17
184,635,766,323,25.48,14.38,4.28,3.28
184,635,766,323,25.51,16.42,4.29,1.26
184,635,766,323,7.1,19.44,4.02,0.71
190,273,937,956,7.1,19.44,4.02,0.71
190,273,937,956,7.09,19.45,4.02,0.71
190,273,937,956,7.1,19.44,4.02,0.71
190,273,937,956,6.55,19.71,4.11,0.77
190,273,937,956,6.55,19.71,4.11,0.77
190,273,937,956,6.55,19.71,4.11,0.77
190,273,937,956,6.55,19.71,4.11,0.77
190,273,937,956,6.57,19.69,4.11,0.77
191,274,938,956,7.09,19.45,4.02,0.71
190,273,937,956,7.65,19.22,3.94,0.66
190,273,937,956,7.09,19.45,4.02,0.71
190,273,937,956,6.55,19.71,4.11,0.77
190,273,937,956,8.21,18.87,5.34,1.96
190,273,937,956,10.43,17.72,5.33,3.08
190,273,937,956,9.29,18.24,6.72,3.27
153,299,917,942,10.53,17.68,6.44,3.07
153,299,917,942,10.43,17.72,6.46,3.08
154,300,917,942,9.84,17.97,6.59,3.17
155,300,918,943,9.78,18,6.6,3.18
155,300,916,927,25.5,16.62,4.38,1.32
155,300,916,927,25.24,17.23,4.21,0.21
155,300,916,927,26.23,17.22,3.21,0.2
155,300,916,927,26.28,17.25,3.22,0.21
137,289,939,959,26.26,17.24,3.22,0.21
137,289,939,959,26.35,17.31,3.24,0.22
137,288,939,959,26.3,17.27,3.23,0.22
137,289,939,959,26.28,17.25,3.22,0.21
137,289,939,959,26.3,17.27,3.23,0.22
137,289,939,959,26.57,17.47,3.3,0.26
137,289,939,959,26.67,17.53,3.32,0.28
134,276,938,959,26.67,17.53,3.32,0.28
133,276,938,959,26.57,17.47,3.3,0.26
133,276,938,959,26.52,17.43,3.28,0.25
133,276,938,959,26.61,17.49,3.31,0.27
133,276,938,959,26.7,17.56,3.33,0.28
133,276,938,959,26.52,17.43,3.28,0.25
133,276,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.57,17.47,3.3,0.26
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.61,17.49,3.31,0.27
132,270,938,959,26.73,17.58,3.34,0.29
132,270,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.61,17.49,3.31,0.27
132,270,938,959,26.57,17.47,3.3,0.26
132,270,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.8,17.63,3.36,0.3
132,270,938,959,26.61,17.49,3.31,0.27
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.57,17.47,3.3,0.26
132,270,938,959,26.84,17.65,3.36,0.3
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.77,17.6,3.35,0.29
135,271,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.73,17.58,3.34,0.29
132,270,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.73,17.58,3.34,0.29
132,270,938,959,26.61,17.49,3.31,0.27
